"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"DomesticShippingCost";"RestofworldShippingCost";"ShippingProfile";"Value_of_unsellable_returns";"VAT";"VAT_CATEGORY";"Hide";"Marketplace";"BatchQuantity"
"B0FS5VZX1X";"POSITIVEJAR_DUCK";"Musemory 60 Positive Duck Cards Jar, Affirmation Cards For Women, Best Friend Gift, Positive Duck Decor, Duck Gifts for Women, Duck Lovers, Positive Duck";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FMNWGZH3";"ONM_BOOKSTAINEDGLASS_MICAHOA";"Book Lover Ornament 2025 – Stained Glass Style Ornament for Readers, Book Ornamen Window Hanging, Bookish Gifts for Teacher, Gifts for Bookworms, Women, Teachers, and Friends";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F7RL4G2Q";"bible jar_daughter";"Read Me When Bible Verse Jar, Bible Accessories, Prayer Jar, Graduation for Her, Christian Gift For Women, Teacher Gifts, Fathers Day Gift For Dad (Bible Jar for Daughter)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GVYXMMNX";"NURSEBADGEREEL_STICKEM";"Funny Nurse Badge Reel Retractable ID Holder – Cute Duck Nurse Badge Clip for RN CNA LPN, Medical ID Badge Holder for Scrubs, Gift Idea (Stick)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0D3PR4S5B";"bile jar-02";"Bible Verse Jar, Christian Gifts for Women, Inspirational Scriptures for Women, Daughters, Bible Accessories, Mothers Day gifts for Mom, Decorative Glass Inspirational Scripture Jar";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FDPRM245";"POSITIVEJAR_DUMPSTER";"60 Positive Dumpster Fire Jar, Affirmation Cards For Women, Dumpster Fire Gifts, Coworker Gifts for Women, Emotional Support Gift Desk Accessories,";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FDWNTSR7";"SCHOOLBOARD_01";"Personalized Teacher Door Sign with Writable Name – Custom Boho Classroom Decor, Back to School Welcome Sign for Kindergarten, Preschool, Middle School, Teacher Gift with Desk Stand & Marker";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FS21WTVQ";"ONM_NATIVITY_RETRO_03";"Three Kings Christmas Ornament 2025, Religious Nativity Ornament with Gift Card, Christian Christmas Tree Decoration, 2025 Christmas Tree Decorations, for Women, Friendship Gifts for Women";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FXGYCV6F";"POSITIVEJAR_BASKETBALL";"Positive Basketball Jar, 60 Daily Affirmation Cards, 60 Motivational Messages for Players, Kids & Teens, Basketball Gifts For Boys, Friendship Gift, Positive Quotes Jar, Best Friend Gift";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GVYQNCKJ";"MOTHERDAY_CARD_TIMLEN_GRANDMA";"Musemory Mother’s Day Card for Mom – 3D Heart Handmade Design, Cute Mom Greeting Card, Mother Daughter Love Card, Happy Mother’s Day (Grandma)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
