asin_clean,sku_clean,units_api,refunds_api,sales_api,promo_api,ads_api,sponsored_products_api,sponsored_display_api,sponsored_brands_api,sponsored_brands_video_api,google_ads_api,facebook_ads_api,refunds_pct_api,sellable_quota_api,refund_cost_api,amazon_fees_api,cost_of_goods_api,shipping_api,gross_profit_api,net_profit_api,estimated_payout_api,expenses_api,margin_api,roi_api,bsr_api,real_acos_api,sessions_api,unit_session_pct_api,average_sales_price_api,units_sb,refunds_sb,sales_sb,promo_sb,ads_sb,sponsored_products_sb,sponsored_display_sb,sponsored_brands_sb,sponsored_brands_video_sb,google_ads_sb,facebook_ads_sb,refunds_pct_sb,sellable_quota_sb,refund_cost_sb,amazon_fees_sb,cost_of_goods_sb,shipping_sb,gross_profit_sb,net_profit_sb,estimated_payout_sb,expenses_sb,margin_sb,roi_sb,bsr_sb,real_acos_sb,sessions_sb,unit_session_pct_sb,average_sales_price_sb,delta_units,delta_refunds,delta_sales,delta_promo,delta_ads,delta_sponsored_products,delta_sponsored_display,delta_sponsored_brands,delta_sponsored_brands_video,delta_google_ads,delta_facebook_ads,delta_refunds_pct,delta_sellable_quota,delta_refund_cost,delta_amazon_fees,delta_cost_of_goods,delta_shipping,delta_gross_profit,delta_net_profit,delta_estimated_payout,delta_expenses,delta_margin,delta_roi,delta_bsr,delta_real_acos,delta_sessions,delta_unit_session_pct,delta_average_sales_price
B0F5V9Z11R,UY-AO7W-2FWB,2.0,0.0,15.98,0.0,-10.06,-9.97,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-6.01,-6.0,0.0,3.97,-6.09,9.97,0.0,-38.11,-101.5,0.0,62.95,0.0,0.0,7.99,2.0,0.0,31.96,0.0,-9.05,-9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-6.0,0.0,4.41,4.41,10.41,0.0,13.8,73.5,1630.0,28.32,0.0,0.0,15.98,0.0,0.0,-15.98,0.0,-1.01,-0.92,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,6.49,0.0,0.0,-0.44,-10.5,-0.44,0.0,-51.91,-175.0,-1630.0,34.63,0.0,0.0,-7.99
B0F62HNF16,ONM_NURSE,5.0,0.0,29.94,0.0,-11.59,-11.43,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,-13.53,0.0,0.0,16.41,4.82,16.41,0.0,16.1,0.0,0.0,38.71,0.0,0.0,5.99,5.0,0.0,49.9,0.0,-9.7,-9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.26,0.0,0.0,16.94,16.94,16.94,0.0,33.95,0.0,3076.0,19.44,0.0,0.0,9.98,0.0,0.0,-19.96,0.0,-1.89,-1.73,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,9.73,0.0,0.0,-0.53,-12.12,-0.53,0.0,-17.85,0.0,-3076.0,19.27,0.0,0.0,-3.99
B0F7RHY417,bible jar_05,1.0,0.0,9.98,0.0,-0.63,-0.58,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,-4.74,0.0,0.0,5.24,4.61,5.24,0.0,46.19,0.0,0.0,6.31,0.0,0.0,9.98,1.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89,0.0,0.0,5.09,5.09,5.09,0.0,51.0,0.0,38620.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,-0.63,-0.58,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,-0.48,0.15,0.0,-4.81,0.0,-38620.0,6.31,0.0,0.0,0.0
B0F8VBSG3T,CARVISOR_DAD,6.0,0.0,49.9,0.0,-5.5,-5.23,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-21.85,0.0,0.0,28.05,22.55,28.05,0.0,45.19,0.0,0.0,11.02,0.0,0.0,8.32,6.0,2.0,59.88,0.0,-2.35,-2.35,0.0,0.0,0.0,0.0,0.0,33.33,0.0,-17.32,-31.38,0.0,0.0,8.83,8.83,8.83,0.0,14.75,0.0,1471.0,3.92,0.0,0.0,9.98,0.0,-2.0,-9.98,0.0,-3.15,-2.88,0.0,-0.27,0.0,0.0,0.0,-33.33,0.0,17.32,9.53,0.0,0.0,19.22,13.72,19.22,0.0,30.44,0.0,-1471.0,7.1,0.0,0.0,-1.66
B0F9PGKBX2,POSITIVEJAR_TURTLE,6.0,0.0,55.96,0.0,-29.93,-29.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-23.84,-7.2,0.0,24.92,-5.01,32.12,0.0,-8.95,-69.58,0.0,53.48,0.0,0.0,9.33,6.0,0.0,83.94,0.0,-26.4,-26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.08,-7.2,0.0,13.26,13.26,20.46,0.0,15.8,184.17,55594.0,31.45,0.0,0.0,13.99,0.0,0.0,-27.98,0.0,-3.53,-3.23,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,13.24,0.0,0.0,11.66,-18.27,11.66,0.0,-24.75,-253.75,-55594.0,22.03,0.0,0.0,-4.66
B0FDWNP259,SCHOOLBOARD_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88,-0.5,0.0,0.0,-2.38,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,1.85,1.85,1.85,0.0,0.0,0.0,8466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.5,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,-4.73,0.0,0.0,-1.85,-1.85,-1.85,0.0,0.0,0.0,-8466.0,0.0,0.0,0.0,0.0
B0FDWR1DSY,MAGNET_APPLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,0.0,0.0,-0.84,-0.84,-0.84,0.0,0.0,0.0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.84,0.84,0.84,0.0,0.0,0.0,-1630.0,0.0,0.0,0.0,0.0
B0FGJLYRZP,ONM_CEIL BLUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15,-1.15,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0FGJRHYVR,ONM_BOOKDRAGON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.3,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,0.0,0.0,-4.3,-4.3,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0FJRX2KDG,ONM_DRAGONFLY_2PCS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-6.06,-3.06,0.0,0.0,4.86,4.86,4.86,0.0,34.76,0.0,5316.0,0.0,0.0,0.0,6.99,0.0,-1.0,-13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,6.06,3.06,0.0,0.0,-4.86,-4.86,-4.86,0.0,-34.76,0.0,-5316.0,0.0,0.0,0.0,-6.99
B0FJRXPDVY,ONM_SUNFLOWER,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6,0.0,0.0,12.35,12.35,12.35,0.0,41.24,0.0,20234.0,0.0,0.0,0.0,5.99,0.0,0.0,-29.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,-12.35,-12.35,-12.35,0.0,-41.24,0.0,-20234.0,0.0,0.0,0.0,-5.99
B0FMNWGZH3,ONM_BOOKSTAINEDGLASS_MICAHOA,1.0,0.0,5.99,0.0,-0.38,-0.35,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-4.14,0.0,0.0,1.85,1.47,1.85,0.0,24.54,0.0,0.0,6.34,0.0,0.0,5.99,1.0,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.0,0.0,2.48,2.48,2.48,0.0,41.4,0.0,24816.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,-0.38,-0.35,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,-0.63,-1.01,-0.63,0.0,-16.86,0.0,-24816.0,6.34,0.0,0.0,0.0
B0FS1TGQHQ,NATIVITY_RETRO_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.35,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
